id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4O6ZaZrRCFfiZZKjnrXqlk,That Thing You Do!,That Thing You Do! Original Motion Picture Soundtrack,Various Artists,1996-09-24,166773,54,0.598,0.874,9,-4.222,1,0.0432,0.0446,5.86e-06,0.094,0.962,134.52,audio_features,spotify:track:4O6ZaZrRCFfiZZKjnrXqlk,https://api.spotify.com/v1/tracks/4O6ZaZrRCFfiZZKjnrXqlk,https://api.spotify.com/v1/audio-analysis/4O6ZaZrRCFfiZZKjnrXqlk,166773,4
2DQo4BKy4d9uE8i1RVhbsG,Sweet Home Alabama,Sweet Home Alabama,The Outlaws,2007-05-01,284533,41,0.589,0.869,7,-5.47,1,0.0288,0.00284,0.0012,0.0672,0.722,97.988,audio_features,spotify:track:2DQo4BKy4d9uE8i1RVhbsG,https://api.spotify.com/v1/tracks/2DQo4BKy4d9uE8i1RVhbsG,https://api.spotify.com/v1/audio-analysis/2DQo4BKy4d9uE8i1RVhbsG,284533,4
3Vby4nGmtbDo7HDJamOWkT,Stuck In The Middle With You,Stealers Wheel,Stealers Wheel,1972-01-01,208946,72,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,audio_features,spotify:track:3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/tracks/3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/audio-analysis/3Vby4nGmtbDo7HDJamOWkT,208947,4
0yRbkTprsL0rYr4UId0Ryi,Hit the Road Jack (Remastered),Las 66 Favoritas de Jose María Íñigo y José Ramón Pardo. Vol. 1 (1958-1961) [Remastered]],Various Artists,2011-05-10,117492,56,0.588,0.768,8,-6.749,0,0.249,0.587,0.0,0.667,0.961,173.107,audio_features,spotify:track:0yRbkTprsL0rYr4UId0Ryi,https://api.spotify.com/v1/tracks/0yRbkTprsL0rYr4UId0Ryi,https://api.spotify.com/v1/audio-analysis/0yRbkTprsL0rYr4UId0Ryi,117493,4
1CtKHwDqsH3ctcCCI18N0g,Everybody Needs Somebody to Love,The Blues Brothers Original Motion Picture Soundtrack,The Blues Brothers,1980,203453,61,0.492,0.928,5,-4.037,1,0.071,0.61,0.00259,0.368,0.92,194.078,audio_features,spotify:track:1CtKHwDqsH3ctcCCI18N0g,https://api.spotify.com/v1/tracks/1CtKHwDqsH3ctcCCI18N0g,https://api.spotify.com/v1/audio-analysis/1CtKHwDqsH3ctcCCI18N0g,203453,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,Hunting High and Low,a-ha,1985-06-01,225280,84,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Bookends,Simon & Garfunkel,1968-04-03,244026,76,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,audio_features,spotify:track:0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/audio-analysis/0iOZM63lendWRTTeKhZBSC,244027,4
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,Please Please Me (Remastered),The Beatles,1963-03-22,155226,74,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,audio_features,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227,4
1pRvlcrVxqdDAyYT1Ym3Wq,carmen,racine carrée,Stromae,2013-01-01,189026,57,0.659,0.824,8,-8.009,1,0.109,0.0213,0.000141,0.384,0.523,150.002,audio_features,spotify:track:1pRvlcrVxqdDAyYT1Ym3Wq,https://api.spotify.com/v1/tracks/1pRvlcrVxqdDAyYT1Ym3Wq,https://api.spotify.com/v1/audio-analysis/1pRvlcrVxqdDAyYT1Ym3Wq,189027,4
6HXvGhmrsMEZ9AxD1Vjejz,Cat People (Putting Out The Fire),Quentin Tarantino's Inglourious Basterds (Motion Picture Soundtrack),Various Artists,2009-08-14,250840,0,0.728,0.632,10,-7.716,1,0.0381,0.0251,0.000889,0.176,0.357,118.24,audio_features,spotify:track:6HXvGhmrsMEZ9AxD1Vjejz,https://api.spotify.com/v1/tracks/6HXvGhmrsMEZ9AxD1Vjejz,https://api.spotify.com/v1/audio-analysis/6HXvGhmrsMEZ9AxD1Vjejz,250840,4
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,232720,80,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,spotify:track:60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,232720,4
65uoaqX5qcjXZRheAj1qQT,Dernière danse,Mini World,Indila,2014-01-01,213493,72,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,audio_features,spotify:track:65uoaqX5qcjXZRheAj1qQT,https://api.spotify.com/v1/tracks/65uoaqX5qcjXZRheAj1qQT,https://api.spotify.com/v1/audio-analysis/65uoaqX5qcjXZRheAj1qQT,213493,4
0l0ed3EQQ1HxDPPHaJjCul,"Stuck in the Middle with You (From ""Reservoir Dogs"")",The Director's Choice: Quentin Tarantino - Music from His Movies,The London Film Score Orchestra,2013-02-20,219954,0,0.845,0.429,9,-7.927,0,0.0403,0.748,0.000168,0.105,0.947,118.074,audio_features,spotify:track:0l0ed3EQQ1HxDPPHaJjCul,https://api.spotify.com/v1/tracks/0l0ed3EQQ1HxDPPHaJjCul,https://api.spotify.com/v1/audio-analysis/0l0ed3EQQ1HxDPPHaJjCul,219954,4
42ojLX3UYsp4XhaX0sx29E,Blue Moon,The Best Of The Marcels,The Marcels,1990-06-11,138360,48,0.624,0.432,7,-11.132,1,0.0344,0.656,0.0,0.0785,0.935,127.69,audio_features,spotify:track:42ojLX3UYsp4XhaX0sx29E,https://api.spotify.com/v1/tracks/42ojLX3UYsp4XhaX0sx29E,https://api.spotify.com/v1/audio-analysis/42ojLX3UYsp4XhaX0sx29E,138360,4
