,id,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,cluster
93,3AVe85uQ3Gv4iXyJy8pG91,Hija mia,Al-Maraya,Al Andaluz Project,2010-05-28,212493,5,0.359,0.54,9,-6.447,0,0.0315,0.564,0.000303,0.107,0.288,121.969,audio_features,spotify:track:3AVe85uQ3Gv4iXyJy8pG91,https://api.spotify.com/v1/tracks/3AVe85uQ3Gv4iXyJy8pG91,https://api.spotify.com/v1/audio-analysis/3AVe85uQ3Gv4iXyJy8pG91,212493,4,6
94,321OSCIMKlta7mMpXSw5Jt,Las Estreyas/The Stars,Dezeo,Consuelo Luz,1999,226160,10,0.494,0.329,11,-12.431,1,0.108,0.342,1.77e-05,0.117,0.0747,96.699,audio_features,spotify:track:321OSCIMKlta7mMpXSw5Jt,https://api.spotify.com/v1/tracks/321OSCIMKlta7mMpXSw5Jt,https://api.spotify.com/v1/audio-analysis/321OSCIMKlta7mMpXSw5Jt,226160,4,6
95,0Nj60g1qp47knzfzBsd6Yc,Kuando el Rey Nimrod (Avram Avinu) (Arr. Jeannette Sorrell),Sephardic Journey,Apollo's Fire,2016-02-05,158183,13,0.515,0.365,7,-12.06,1,0.0336,0.961,0.000312,0.0768,0.563,117.689,audio_features,spotify:track:0Nj60g1qp47knzfzBsd6Yc,https://api.spotify.com/v1/tracks/0Nj60g1qp47knzfzBsd6Yc,https://api.spotify.com/v1/audio-analysis/0Nj60g1qp47knzfzBsd6Yc,158184,4,8
96,42uQskACamJyTGn5ZLqbNd,Lasse Pour Quoi,Portals Of Grace,Azam Ali,2002-01-01,381493,20,0.244,0.331,9,-12.03,0,0.0382,0.756,0.0,0.113,0.0521,152.217,audio_features,spotify:track:42uQskACamJyTGn5ZLqbNd,https://api.spotify.com/v1/tracks/42uQskACamJyTGn5ZLqbNd,https://api.spotify.com/v1/audio-analysis/42uQskACamJyTGn5ZLqbNd,381493,3,1
97,4ZFoSDLmxjpORd7IiQ6IzE,Siete Modos de Guisar Las Berenjenas,Siete Modos de Guisar Las Berenjenas,María Salgado,1998-01-01,248960,9,0.742,0.504,7,-12.524,1,0.0562,0.441,0.0,0.11,0.858,154.4,audio_features,spotify:track:4ZFoSDLmxjpORd7IiQ6IzE,https://api.spotify.com/v1/tracks/4ZFoSDLmxjpORd7IiQ6IzE,https://api.spotify.com/v1/audio-analysis/4ZFoSDLmxjpORd7IiQ6IzE,248961,3,8
98,5IcwiCHXoKuJmUFWcBfzvd,Siete Modos de Guisar las Berenjenas,Inquilinos do Mundo,Mawaca,2013-06-15,308240,4,0.576,0.472,9,-8.595,0,0.0388,0.765,0.0,0.126,0.786,136.669,audio_features,spotify:track:5IcwiCHXoKuJmUFWcBfzvd,https://api.spotify.com/v1/tracks/5IcwiCHXoKuJmUFWcBfzvd,https://api.spotify.com/v1/audio-analysis/5IcwiCHXoKuJmUFWcBfzvd,308240,3,8
99,4Qs4sj6y59orTwbzni7cNh,Avram Avinu - Hicaz Mandira,"Candia 1669: Venetian, Greek, Ottoman & Sephardic Music at the Time of the Cretan War",Ensemble Animantica,2017-04-21,445613,3,0.474,0.384,7,-15.638,0,0.0526,0.889,0.937,0.0852,0.459,122.297,audio_features,spotify:track:4Qs4sj6y59orTwbzni7cNh,https://api.spotify.com/v1/tracks/4Qs4sj6y59orTwbzni7cNh,https://api.spotify.com/v1/audio-analysis/4Qs4sj6y59orTwbzni7cNh,445613,4,9
100,0TMlYIhhFCqPmIXZqGmtWJ,Avram Avinu,Echoes Of Qiyan,Qiyans Krets & Oscar Fredriks Kammarkör,2010-02-15,222586,6,0.462,0.364,4,-12.555,0,0.0678,0.968,8.6e-06,0.0899,0.222,110.226,audio_features,spotify:track:0TMlYIhhFCqPmIXZqGmtWJ,https://api.spotify.com/v1/tracks/0TMlYIhhFCqPmIXZqGmtWJ,https://api.spotify.com/v1/audio-analysis/0TMlYIhhFCqPmIXZqGmtWJ,222587,4,1
101,09YAl21y6ijhUW5GphXZE7,Los Guisados de Berenjena,"Aman! Sefarad (Kantigas de Selanika a Estambol, Chants séfarades de l'ex-Empire ottoman)",Françoise Atlan,2014,265280,2,0.688,0.4,2,-9.377,0,0.0549,0.845,0.0,0.126,0.96,82.712,audio_features,spotify:track:09YAl21y6ijhUW5GphXZE7,https://api.spotify.com/v1/tracks/09YAl21y6ijhUW5GphXZE7,https://api.spotify.com/v1/audio-analysis/09YAl21y6ijhUW5GphXZE7,265280,3,8
102,6fKv6aibgJowqaXdv1jl9I,Shecharhoret,The Beauty and the Sea,Mor Karbasi,2008-11-01,387736,20,0.283,0.267,11,-12.068,0,0.0355,0.712,0.000453,0.0914,0.0706,107.877,audio_features,spotify:track:6fKv6aibgJowqaXdv1jl9I,https://api.spotify.com/v1/tracks/6fKv6aibgJowqaXdv1jl9I,https://api.spotify.com/v1/audio-analysis/6fKv6aibgJowqaXdv1jl9I,387737,4,1
103,35OBCNALoiWcfwKEDbGdqh,La galana y el mar / Ajuar de novia galana (Contrafacte),Musica i Cants Sefardis D´Orient i Occident,Aman Aman,2007-01-20,325933,12,0.302,0.26,5,-13.118,1,0.0313,0.821,0.125,0.0941,0.246,93.673,audio_features,spotify:track:35OBCNALoiWcfwKEDbGdqh,https://api.spotify.com/v1/tracks/35OBCNALoiWcfwKEDbGdqh,https://api.spotify.com/v1/audio-analysis/35OBCNALoiWcfwKEDbGdqh,325933,4,1
104,4e3SBEF8VKxQKyqfQfoMLP,Durme / Bana Yücelerden seyreden dilber,Musica i Cants Sefardis D´Orient i Occident,Aman Aman,2007-01-20,232466,13,0.637,0.292,10,-13.356,1,0.0299,0.848,0.00393,0.0949,0.433,116.08,audio_features,spotify:track:4e3SBEF8VKxQKyqfQfoMLP,https://api.spotify.com/v1/tracks/4e3SBEF8VKxQKyqfQfoMLP,https://api.spotify.com/v1/audio-analysis/4e3SBEF8VKxQKyqfQfoMLP,232467,4,8
105,25XSotyZJd8VLRAtQNdUif,Scalerica de oro,Musica i Cants Sefardis D´Orient i Occident,Aman Aman,2007-01-20,262520,9,0.367,0.616,7,-10.219,0,0.075,0.685,0.123,0.0806,0.192,91.751,audio_features,spotify:track:25XSotyZJd8VLRAtQNdUif,https://api.spotify.com/v1/tracks/25XSotyZJd8VLRAtQNdUif,https://api.spotify.com/v1/audio-analysis/25XSotyZJd8VLRAtQNdUif,262520,3,6
106,0ewGcrXPYIhwRDCLA1wSuX,Los guisados de la berenjena,Musica i Cants Sefardis D´Orient i Occident,Aman Aman,2007-01-20,224746,13,0.645,0.63,11,-8.761,1,0.0595,0.528,0.0,0.0544,0.96,171.988,audio_features,spotify:track:0ewGcrXPYIhwRDCLA1wSuX,https://api.spotify.com/v1/tracks/0ewGcrXPYIhwRDCLA1wSuX,https://api.spotify.com/v1/audio-analysis/0ewGcrXPYIhwRDCLA1wSuX,224747,3,2
107,28c8wmYz6cWGsSsnqZVDWq,Dune,Faran,Faran Ensemble,2013-02-01,424897,27,0.479,0.37,9,-10.417,0,0.0342,0.805,0.549,0.117,0.563,109.935,audio_features,spotify:track:28c8wmYz6cWGsSsnqZVDWq,https://api.spotify.com/v1/tracks/28c8wmYz6cWGsSsnqZVDWq,https://api.spotify.com/v1/audio-analysis/28c8wmYz6cWGsSsnqZVDWq,424897,4,9
108,5xded4jp8ioYp51PawFrBy,El rey Nimrod,Musica i Cants Sefardis D´Orient i Occident,Aman Aman,2007-01-20,205373,16,0.574,0.526,5,-9.64,1,0.0322,0.833,0.0774,0.247,0.786,119.953,audio_features,spotify:track:5xded4jp8ioYp51PawFrBy,https://api.spotify.com/v1/tracks/5xded4jp8ioYp51PawFrBy,https://api.spotify.com/v1/audio-analysis/5xded4jp8ioYp51PawFrBy,205373,4,8
109,1oNIqXaQgSc74cqSd5Rzcd,Tango dos Chavicos,Mawaca Pra Todo Canto,Mawaca,2004-06-05,209453,9,0.765,0.506,2,-8.104,0,0.0367,0.182,1.09e-06,0.0951,0.759,100.048,audio_features,spotify:track:1oNIqXaQgSc74cqSd5Rzcd,https://api.spotify.com/v1/tracks/1oNIqXaQgSc74cqSd5Rzcd,https://api.spotify.com/v1/audio-analysis/1oNIqXaQgSc74cqSd5Rzcd,209453,4,2
110,7B0THRVrOyoeFybZVWBlg4,Ney Taksim,Himma,Sufi Music Ensemble,2004-01-01,169347,31,0.238,0.0505,4,-21.438,1,0.0428,0.978,0.603,0.0991,0.189,139.01,audio_features,spotify:track:7B0THRVrOyoeFybZVWBlg4,https://api.spotify.com/v1/tracks/7B0THRVrOyoeFybZVWBlg4,https://api.spotify.com/v1/audio-analysis/7B0THRVrOyoeFybZVWBlg4,169347,3,3
111,2qlImmfsIvpqbdstzK19wq,Allah hu,Qawwali Flamenco,Various Artists,2013-06-24,809533,10,0.46,0.614,6,-10.079,1,0.0804,0.724,0.000407,0.688,0.601,111.533,audio_features,spotify:track:2qlImmfsIvpqbdstzK19wq,https://api.spotify.com/v1/tracks/2qlImmfsIvpqbdstzK19wq,https://api.spotify.com/v1/audio-analysis/2qlImmfsIvpqbdstzK19wq,809533,4,0
112,6SWIW3zucNBuxhCrAJ4FSI,My God Called Me This Morning,Standing In The Safety Zone,The Fairfield Four,1992-05-26,151960,0,0.579,0.292,10,-13.511,0,0.366,0.849,0.0,0.106,0.464,169.639,audio_features,spotify:track:6SWIW3zucNBuxhCrAJ4FSI,https://api.spotify.com/v1/tracks/6SWIW3zucNBuxhCrAJ4FSI,https://api.spotify.com/v1/audio-analysis/6SWIW3zucNBuxhCrAJ4FSI,151960,4,5
113,0IxR9DU4sRSR6mpDbJ5Zrg,O Felix,Portals Of Grace,Azam Ali,2002-01-01,318670,11,0.245,0.162,9,-15.261,1,0.0464,0.944,1.83e-06,0.106,0.0357,69.988,audio_features,spotify:track:0IxR9DU4sRSR6mpDbJ5Zrg,https://api.spotify.com/v1/tracks/0IxR9DU4sRSR6mpDbJ5Zrg,https://api.spotify.com/v1/audio-analysis/0IxR9DU4sRSR6mpDbJ5Zrg,318671,4,7
114,0rmuu07tQoy3seUgIkYBVR,A Chantar M'er,Portals Of Grace,Azam Ali,2002-01-01,391133,12,0.287,0.357,11,-11.853,0,0.0396,0.888,0.0,0.139,0.0606,140.086,audio_features,spotify:track:0rmuu07tQoy3seUgIkYBVR,https://api.spotify.com/v1/tracks/0rmuu07tQoy3seUgIkYBVR,https://api.spotify.com/v1/audio-analysis/0rmuu07tQoy3seUgIkYBVR,391133,3,1
115,5U0YWO4CHWCWiUphdP9QZF,Inna-I-Malak,Portals Of Grace,Azam Ali,2002-01-01,323133,12,0.284,0.168,7,-13.655,1,0.0403,0.99,0.0,0.109,0.0638,128.74,audio_features,spotify:track:5U0YWO4CHWCWiUphdP9QZF,https://api.spotify.com/v1/tracks/5U0YWO4CHWCWiUphdP9QZF,https://api.spotify.com/v1/audio-analysis/5U0YWO4CHWCWiUphdP9QZF,323133,4,7
116,5yp5BV92VGaNXLJ8XqY9G2,Era Oscuro,Mazal,Fortuna,2004-01-01,169866,0,0.537,0.107,10,-17.173,0,0.0424,0.931,0.00024,0.106,0.24,120.38,audio_features,spotify:track:5yp5BV92VGaNXLJ8XqY9G2,https://api.spotify.com/v1/tracks/5yp5BV92VGaNXLJ8XqY9G2,https://api.spotify.com/v1/audio-analysis/5yp5BV92VGaNXLJ8XqY9G2,169867,3,1
117,0vbOGxQPe2jX4UroKPFsDc,Sefarad,Mazal,Fortuna,2004-01-01,242706,0,0.481,0.248,8,-13.738,1,0.0347,0.277,0.507,0.0819,0.419,113.69,audio_features,spotify:track:0vbOGxQPe2jX4UroKPFsDc,https://api.spotify.com/v1/tracks/0vbOGxQPe2jX4UroKPFsDc,https://api.spotify.com/v1/audio-analysis/0vbOGxQPe2jX4UroKPFsDc,242707,4,9
118,0cTWdJo8bJdri9RO1rvQvO,Yo M'enamori,Mazal,Fortuna,2004-01-01,178560,3,0.453,0.108,9,-14.981,1,0.0479,0.936,2.84e-05,0.0819,0.375,92.684,audio_features,spotify:track:0cTWdJo8bJdri9RO1rvQvO,https://api.spotify.com/v1/tracks/0cTWdJo8bJdri9RO1rvQvO,https://api.spotify.com/v1/audio-analysis/0cTWdJo8bJdri9RO1rvQvO,178560,4,1
119,2z2ilNf72FpCjBRt0JDQ1M,Avram Avinu,Mazal,Fortuna,2004-01-01,219133,1,0.412,0.11,7,-13.777,1,0.0411,0.893,0.0,0.26,0.13,93.47,audio_features,spotify:track:2z2ilNf72FpCjBRt0JDQ1M,https://api.spotify.com/v1/tracks/2z2ilNf72FpCjBRt0JDQ1M,https://api.spotify.com/v1/audio-analysis/2z2ilNf72FpCjBRt0JDQ1M,219133,3,1
120,1Atocg2GrVOWNVltfT2qmw,Scalerica De Ouro,La Prima Vez,Fortuna,1993-01-01,158160,0,0.413,0.169,2,-12.341,0,0.0367,0.974,0.0,0.089,0.312,82.106,audio_features,spotify:track:1Atocg2GrVOWNVltfT2qmw,https://api.spotify.com/v1/tracks/1Atocg2GrVOWNVltfT2qmw,https://api.spotify.com/v1/audio-analysis/1Atocg2GrVOWNVltfT2qmw,158160,4,1
121,58nV2U0YrMzl71AmL8gmsy,Modé Ani,Cantigas,Fortuna,1994-01-01,216160,0,0.341,0.306,11,-13.565,0,0.0409,0.743,0.00595,0.0871,0.534,93.915,audio_features,spotify:track:58nV2U0YrMzl71AmL8gmsy,https://api.spotify.com/v1/tracks/58nV2U0YrMzl71AmL8gmsy,https://api.spotify.com/v1/audio-analysis/58nV2U0YrMzl71AmL8gmsy,216160,4,1
